Service,Customer,Billing customer,Billing rule,Release wf,Exceptional cases for billing rules,Date rule is,OEM,Tier,Reset tier,Price per device,Support fee costs,Development fee costs,Onboarding fee,Currency,Implem,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024 Deprecated,,DLC,"5,000,000",Do not reset,2.05,,,,USD,,,,,,,,,
DF,Movistar Colombia,Movistar Colombia,On activation,7,Billing rule is changed from 5 to 7 days Deprecated,13/11/2023,All devices,na,,3.25,,,,USD,,,,,,,,,
DF,Movistar Ecuador,Movistar Ecuador,On activation,7,Billing rule is changed from 5 to 7 days Deprecated,13/11/2023,All devices,na,,3.25,,,,USD,,,,,,,,,
DF,Movistar Mexico,Movistar Mexico,On activation,7,Deprecated,13/11/2023,All devices,na,,3.25,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Samsung,"1-50,000",,2.75,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Samsung,"50,001-100,000",,2.5,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Samsung,"100,001-250,000",,2.25,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Samsung,"250,001+",,2,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Other devices,"1-50,000",,2.5,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Other devices,"50,001-100,000",,2.25,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Other devices,"100,001-250,000",,2,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Other devices,"250,001+",,1.75,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Applied from the beginning of data Deprecated,07/11/2023,Samsung,na,,2.6,,,,USD,Done,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Deprecated,07/11/2023,Motorola,na,,2.6,,,,USD,Done,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Deprecated,07/11/2023,Other devices,na,,2,,,,USD,Done,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,All devices except of DLC,na,,3.25,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,DLC,na,,2.5,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,All devices except of DLC,na,,3.25,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,DLC,na,,2.5,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,All devices except of DLC,na,,3.25,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,DLC,"1-100,000",Do not reset,2.75,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Samsung,"100,001-200,000",,2.5,,,,USD,,,,,,,,,
DF,Movistar Colombia,Movistar Colombia,On activation,7,Billing rule updated,13/11/2023,All devices,na,,3,,,,USD,,,,,,,,,
DF,Movistar Ecuador,Movistar Ecuador,On activation,7,New rule applied,13/11/2023,Samsung,"1-75,000",,2.25,,,,USD,,,,,,,,,
DF,Movistar Mexico,Movistar Mexico,On activation,7,Standard rule,,Other devices,na,,2.75,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Motorola,"1-50,000",,2.25,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,All devices,"200,001+",,1.75,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Samsung,"50,001-150,000",,2.4,,,,USD,,,,,,,,,
DF,Movistar Colombia,Movistar Colombia,On activation,7,Updated pricing,07/11/2023,Other devices,na,,2.8,,,,USD,Done,,,,,,,,
DF,Movistar Ecuador,Movistar Ecuador,On activation,7,New tier structure,,Samsung,"150,001-300,000",,2.15,,,,USD,,,,,,,,,
DF,Movistar Mexico,Movistar Mexico,On activation,7,Standard pricing,,DLC,na,,2.9,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,Other devices,"75,001-175,000",,2.35,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,All devices,na,,3.15,,,,USD,Done,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Updated structure,,Motorola,"100,001+",,2.1,,,,USD,,,,,,,,,
DF,Movistar Colombia,Movistar Colombia,On activation,7,New pricing model,,Samsung,"1-100,000",,2.65,,,,USD,,,,,,,,,
DF,Movistar Ecuador,Movistar Ecuador,On activation,7,Standard rule,,Other devices,na,,2.85,,,,USD,,,,,,,,,
DF,Movistar Mexico,Movistar Mexico,On activation,7,Rule update pending,,All devices,na,,3.2,,,,USD,,,,,,,,,
DF,Movistar Peru,Insolution,On activation,7,Rule is deprecated,,DLC,"1-200,000",,2.45,,,,USD,,,,,,,,,
DF,Movistar Chile,Movistar Chile,On activation,7,From June 13th 2024,,Samsung,"200,001+",,1.95,,,,USD,,,,,,,,,
DF,Movistar Colombia,Movistar Colombia,On activation,7,New implementation,07/11/2023,Other devices,na,,2.7,,,,USD,Done,,,,,,,,
